Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
gamemd.exe,18720,0x43D4320,D3D9,-1,0,0,Composed: Flip,1878.4587,NA,22.50570000000000,NA,4.31860000000000,8.02740000000000,38.0923,NA,1873.2320,9.5453,5.2267,4.3186,6.0421,7.2120,6.2530,0.9590,0.0000,1873.2320,40.5358,NA
gamemd.exe,18720,0x43D4320,D3D9,-1,0,0,Composed: Flip,1893.8855,NA,15.42680000000000,16.68710000000000,1.87900000000000,23.93110000000000,39.3526,NA,1882.7773,12.9872,11.1082,1.8790,12.0631,22.9762,7.7058,15.2704,-7.1418,1882.7773,41.2298,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,1910.0687,NA,16.18320000000000,3.45820000000000,1.12690000000000,25.14420000000000,26.6276,NA,1895.7645,15.4311,14.3042,1.1269,33.8691,5.5793,4.1369,1.4424,9.5290,1895.7645,28.6973,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,1927.9799,NA,17.91120000000000,3.35420000000000,2.51400000000000,10.91340000000000,12.0706,NA,1911.1956,19.2983,16.7843,2.5140,26.4813,1.2164,1.2164,0.0000,12.0769,1911.1956,16.0228,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,1943.6819,NA,15.70200000000000,8.42060000000000,1.15980000000000,4.54060000000000,4.7892,NA,1930.4939,14.3478,13.1880,1.1598,13.7242,4.0044,3.9257,0.0787,10.8777,1930.4939,8.3666,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,1961.5590,NA,17.87710000000000,20.88600000000000,2.08550000000000,6.37260000000000,7.7981,NA,1944.8417,18.8028,16.7173,2.0855,18.0998,4.9901,4.1622,0.8279,-6.5382,1944.8417,13.3612,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,1976.6593,NA,15.10030000000000,12.41500000000000,1.18550000000000,4.90880000000000,5.1128,NA,1963.6445,14.2003,13.0148,1.1855,13.5456,4.3780,3.9536,0.4244,6.3878,1963.6445,9.7782,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,1993.8427,NA,17.18340000000000,17.36170000000000,1.24680000000000,5.05270000000000,5.2911,NA,1977.8448,17.2447,15.9979,1.2468,16.5269,4.5237,4.0205,0.5032,-3.1614,1977.8448,11.1053,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2010.6673,NA,16.82460000000000,16.25930000000000,1.11290000000000,4.50020000000000,4.7258,NA,1995.0895,16.6907,15.5778,1.1129,16.0301,4.0479,3.9792,0.0687,0.9854,1995.0895,11.3934,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2027.4765,NA,16.80920000000000,16.86090000000000,1.81220000000000,4.56410000000000,4.7775,NA,2011.7802,17.5085,15.6963,1.8122,16.3669,3.8935,3.8185,0.0750,-0.1702,2011.7802,12.2481,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2043.6848,NA,16.20830000000000,17.47460000000000,1.87400000000000,5.83130000000000,6.0438,NA,2029.2887,16.2701,14.3961,1.8740,15.0434,5.1840,4.5987,0.5853,0.0339,2029.2887,13.7290,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2060.2177,NA,16.53290000000000,15.21910000000000,1.20380000000000,4.51990000000000,4.7300,NA,2045.5588,15.8627,14.6589,1.2038,15.1902,3.9886,3.8998,0.0888,1.0510,2045.5588,12.9270,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2077.5374,NA,17.31970000000000,17.31790000000000,1.14340000000000,4.49820000000000,4.7282,NA,2061.4215,17.2593,16.1159,1.1434,16.6511,3.9630,3.8710,0.0920,-1.4552,2061.4215,6.1822,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2093.3832,NA,15.84580000000000,16.12240000000000,1.59060000000000,4.79770000000000,5.0048,NA,2078.6808,16.2930,14.7024,1.5906,15.5968,3.9033,3.8251,0.0782,1.1369,2078.6808,6.3979,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2111.2740,NA,17.89080000000000,19.60260000000000,1.10890000000000,5.26120000000000,6.7166,NA,2094.9738,17.4091,16.3002,1.1089,16.8342,4.7272,4.0507,0.6765,-3.3096,2094.9738,9.9296,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2128.9572,NA,17.68320000000000,17.32750000000000,2.21590000000000,4.95760000000000,6.3609,NA,2112.3829,18.7902,16.5743,2.2159,17.3971,4.1348,4.0397,0.0951,0.0816,2112.3829,11.3015,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2145.7366,NA,16.77940000000000,16.66590000000000,1.64900000000000,5.24300000000000,6.2474,NA,2131.1731,16.2125,14.5635,1.6490,15.2722,4.5343,4.4480,0.0863,2.1243,2131.1731,11.9490,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2161.5131,NA,15.77650000000000,16.03930000000000,1.61710000000000,5.45850000000000,6.5102,NA,2147.3856,15.7446,14.1275,1.6171,14.8746,4.7114,4.1946,0.5168,0.1732,2147.3856,12.0259,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2178.2953,NA,16.78220000000000,17.34690000000000,1.61960000000000,5.98470000000000,7.0749,NA,2163.1302,16.7847,15.1651,1.6196,16.0369,5.1129,4.5036,0.6093,-1.6023,2163.1302,13.3160,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2193.2398,NA,14.94450000000000,13.30640000000000,1.20490000000000,5.23170000000000,5.4368,NA,2179.9149,14.5298,13.3249,1.2049,13.8193,4.7373,4.1885,0.5488,3.4783,2179.9149,10.6844,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2210.3402,NA,17.10040000000000,16.40590000000000,1.06440000000000,4.56780000000000,4.7423,NA,2194.4447,16.9599,15.8955,1.0644,16.3539,4.1094,4.0294,0.0800,-1.8761,2194.4447,11.0324,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2227.6030,NA,17.26280000000000,17.22730000000000,1.20720000000000,4.50010000000000,4.7068,NA,2211.4046,17.4056,16.1984,1.2072,16.7449,3.9536,3.8627,0.0909,-0.2674,2211.4046,12.0537,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2244.4511,NA,16.84810000000000,17.27130000000000,1.15240000000000,4.91030000000000,5.1300,NA,2228.8102,16.7933,15.6409,1.1524,16.1696,4.3816,4.2861,0.0955,0.1343,2228.8102,13.5599,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2261.2357,NA,16.78460000000000,16.49720000000000,1.33960000000000,4.65420000000000,4.8426,NA,2245.6035,16.9718,15.6322,1.3396,16.2284,4.0580,3.9701,0.0879,0.2961,2245.6035,22.0696,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,2277.9187,NA,16.68300000000000,16.88630000000000,1.05730000000000,4.82690000000000,5.0459,NA,2262.5753,16.4007,15.3434,1.0573,15.8180,4.3523,4.2665,0.0858,0.0855,2262.5753,6.9097,NA
